Dataset: Eastern and Northern Bering Sea ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Pagurus capillatus,Hairy hermit crab,63.10615935375102,63.235417179624996,0.12925782587397805,0.20482600620551789,-26.514295,-26.885551333333336,-0.37125633333333496,1.4002119737045051
Pagurus ochotensis,Alaskan hermit crab,59.17858097683142,59.643881557536155,0.465300580704735,0.786265187546321,-38.09108966666667,-37.58149233333333,0.509597333333339,-1.3378386856159834
Pagurus rathbuni,Longfinger hermit,62.60600794852991,63.226563928593656,0.6205559800637488,0.9912083526774693,-52.33388566666667,-48.60697666666667,3.726908999999999,-7.121407005277656
Pagurus trigonocheirus,Fuzzy hermit,63.35269880064015,63.129423280403756,-0.22327552023639186,-0.35243253162584415,-36.76803933333333,-37.218599000000005,-0.45055966666667757,1.2254111854645653
Pallasina barbata,Tubenose poacher,62.15639477243614,62.58292602736841,0.4265312549322715,0.686222642889547,-20.638486333333333,-21.871417666666662,-1.2329313333333296,5.973942630385715
Pandalus eous,Northern shrimp,59.50883444555793,59.52849302073604,0.01965857517811287,0.033034717216815356,-133.47375133333333,-138.72246333333334,-5.248712000000012,3.932392659656382
Pandalus goniurus,Humpy shrimp,63.9279703524388,64.33860642652259,0.41063607408379,0.6423417978389244,-35.66505266666667,-28.334049333333336,7.3310033333333315,-20.555145121613815
Paralithodes camtschaticus,Red king crab,57.458888893667506,57.74347831523471,0.2845894215672047,0.49529224641614855,-55.64069033333333,-54.42208733333334,1.2186029999999946,-2.190129189087274
Paralithodes platypus,Blue king crab,61.770196709217,61.285041024847594,-0.4851556843694027,-0.7854203324837568,-53.79420666666667,-47.33558733333333,6.458619333333338,-12.006161506115104
Platichthys stellatus,Starry flounder,59.16788102370867,59.61619057897456,0.4483095552658938,0.7576907394845784,-35.47586733333333,-36.38072,-0.9048526666666632,2.5506146422428926
Pleuronectes quadrituberculatus,Alaska plaice,60.15392464794806,60.470113293987254,0.31618864603919405,0.5256326131498383,-51.57901666666666,-49.117549999999994,2.4614666666666665,-4.772224880854327
Plicifusus kroyeri,Arctic whelk,58.586628811960935,58.4755179235187,-0.1111108884422336,-0.18965229898933766,-102.88632166666666,-99.72222833333332,3.1640933333333408,-3.0753294335708095
Podothecus accipenserinus,Sturgeon poacher,58.19379843389533,57.92231648312934,-0.27148195076598824,-0.46651354280366397,-52.89454733333333,-54.92129,-2.026742666666671,3.831666530567791
Podothecus veternus,,64.03202393679047,64.30689959550165,0.27487565871118136,0.42927841697230473,-35.63089166666666,-34.27085133333333,1.3600403333333304,-3.817025815847523
Pteraster obscurus,Obscure cushion star,59.438212691966946,59.08147439482991,-0.356738297137035,-0.600183419016649,-125.95949200000001,-111.47033866666668,14.489153333333334,-11.503026173949108
Reinhardtius hippoglossoides,Greenland halibut,60.55739469857921,60.46527417392977,-0.0921205246494381,-0.1521210169426252,-116.41670666666668,-120.938625,-4.521918333333318,3.88425206553972
Sarritor frenatus,Sawback poacher,56.612510109400915,56.56770693531596,-0.04480317408495438,-0.07914005932323867,-123.99178666666667,-124.09856633333334,-0.10677966666666805,0.08611833859103037
Sclerocrangon boreas,Sculptured shrimp,64.37357476875805,64.40507922060753,0.031504451849485804,0.04894003783797265,-26.389933666666668,-28.201641,-1.811707333333331,6.865145461209372
Serripes notabilis,Oblique smoothcockle,63.47347505120345,64.09768899181232,0.6242139406088683,0.9834248717362973,-34.090729333333336,-23.741630666666666,10.34909866666667,-30.357516160698555
Strongylocentrotus droebachiensis,Green sea urchin,61.5096146011044,63.486063008632804,1.9764484075284017,3.213234907007391,-50.124958,-41.97590266666666,8.149055333333337,-16.2574806213969
Styela rustica,Sea potato,59.27644130376325,59.78833133479836,0.511890031035108,0.8635640395682964,-63.76239933333333,-62.52877133333333,1.233627999999996,-1.9347264420695776
Telmessus cheiragonus,Helmet crab,63.58429609090289,63.937750162867815,0.35345407196492573,0.5558826529425007,-21.987043333333332,-21.317504333333336,0.6695389999999968,-3.045152501177573
