taxonID	identifier	title	format	datasetID	subject
urn:lsid:marinespecies.org:taxname:946	NCBI:txid115834	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:948	NCBI:txid122238	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:951	NCBI:txid1699850	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:952	NCBI:txid39821	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:953	NCBI:txid221999	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:954	NCBI:txid3039173	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:956	NCBI:txid36119	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:957	NCBI:txid222060	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:958	NCBI:txid397572	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:959	NCBI:txid588354	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:960	NCBI:txid104701	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:961	NCBI:txid394753	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:962	NCBI:txid1649655	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:965	NCBI:txid169110	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:966	NCBI:txid104737	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:967	NCBI:txid104719	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:969	NCBI:txid65492	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:971	NCBI:txid160440	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:972	NCBI:txid272733	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:974	NCBI:txid36131	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:975	NCBI:txid39832	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:976	NCBI:txid279648	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:978	NCBI:txid104716	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:979	NCBI:txid36125	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:980	NCBI:txid104750	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:981	NCBI:txid6374	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:983	NCBI:txid36113	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:985	NCBI:txid6366	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:988	NCBI:txid51280	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:992	NCBI:txid36116	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:993	NCBI:txid188465	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:995	NCBI:txid36128	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:996	NCBI:txid115847	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1028	NCBI:txid27945	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1051	NCBI:txid6199	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1065	NCBI:txid6656	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1066	NCBI:txid6657	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1067	NCBI:txid84343	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1071	NCBI:txid6681	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1076	NCBI:txid6665	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1078	NCBI:txid6670	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1079	NCBI:txid72039	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1080	NCBI:txid6830	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1082	NCBI:txid6675	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1083	NCBI:txid116174	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1086	NCBI:txid72041	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1087	NCBI:txid75389	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1089	NCBI:txid6682	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1090	NCBI:txid6820	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1091	NCBI:txid84318	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1100	NCBI:txid6833	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1101	NCBI:txid84308	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1102	NCBI:txid41212	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1103	NCBI:txid84310	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1104	NCBI:txid72033	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1106	NCBI:txid84311	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1107	NCBI:txid6676	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1108	NCBI:txid37902	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1109	NCBI:txid37909	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1128	NCBI:txid6816	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1129	NCBI:txid75394	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1130	NCBI:txid6683	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1131	NCBI:txid29979	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1133	NCBI:txid75398	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1135	NCBI:txid6821	To Genbank		ncbi	
