123331	123331
316144	316144
195639	195639
301820	301820
1072482	1072482
170824	170824
2048761	2048761
319454	319454
980342	980342
320385	320385
557364	557364
1219345	1219345
651723	651723
443808	443808
641289	641289
134920	134920
134920	134921
185748	185748
274768	274768
980343	980343
215407	215407
301822	301822
81389	81389
1206991	1206991
111784	111784
490280	490280
641292	641292
516980	516980
305631	305631
641296	641296
100202	100202
882883	882883
283636	283636
259920	259920
151723	151723
933223	933223
557365	557365
446837	446837
86375	86375
1048762	1048762
1311561	1311561
557417	557417
320398	320398
88713	88713
428030	428030
1622141	1622141
700664	700664
320607	320607
459053	459053
13662	13662
136490	136490
319782	319782
8030	8030
8037	8037
8039	8039
8039	85063
8039	85065
8039	423371
8231	8231
28381	28381
28381	298279
