Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
AGLAJIDAE,"Navanax inermis","(J. G. Cooper, 1863)","California aglaja",,14595
AGLAJIDAE,"Navanax polyalphos","(Gosliner and Williams, 1972)",,,11620
AGLAJIDAE,"Philinopsis depicta","(Renier, 1807)",,,125912
AGLAOPHENIIDAE,"Aglaophenia acacia","Allman, 1883",,,30715
AGLAOPHENIIDAE,"Aglaophenia diegensis","Torrey, 1904",,,30694
AGLAOPHENIIDAE,"Aglaophenia epizoica","Fraser, 1948",,,30698
AGLAOPHENIIDAE,"Aglaophenia fluxa","Fraser, 1948",,,30695
AGLAOPHENIIDAE,"Aglaophenia inconspicua","Torrey, 1904",,,30699
AGLAOPHENIIDAE,"Aglaophenia lateseptata","Fraser, 1948",,,30701
AGLAOPHENIIDAE,"Aglaophenia latirostris","Nutting, 1900",,,30702
AGLAOPHENIIDAE,"Aglaophenia lophocarpa","Allman, 1877",,,172342
AGLAOPHENIIDAE,"Aglaophenia octocarpa","Nutting, 1900",,,30704
AGLAOPHENIIDAE,"Aglaophenia pluma","(Linnaeus, 1758)",,,30691
AGLAOPHENIIDAE,"Aglaophenia struthionides","(Murray, 1860)",,,30685
AGLAOPHENIIDAE,"Aglaophenia transitionis","Fraser, 1941",,,234895
AGLAOPHENIIDAE,"Cladocarpus pinguis","Fraser, 1948",,,30657
AIPTASIIDAE,"Aiptasia californica","Carlgren, 1952",,,35270
AIPTASIIDAE,"Aiptasia pulchella","Carlgren, 1943",,,35277
AIPTASIIDAE,"Aiptasiogeton eruptaurantia","(Field, 1949)",,,153289
AIPTASIIDAE,"Exaiptasia diaphana","(Rapp, 1829)",,,149875
AKATOPORIDAE,"Akatopora tincta","(Hastings, 1930)",,,123034
ALBUNEIDAE,"Blepharipoda occidentalis","J. W. Randall, 1840","spiny mole crab",,76795
ALBUNEIDAE,"Lepidopa californica","Efford, 1971","California mole crab",,76777
ALBUNEIDAE,"Lepidopa myops","Stimpson, 1860",,,76778
ALBUNEIDAE,"Lophomastix diomedeae","J. E. Benedict, 1904",,,76796
ALCIOPIDAE,"Plotohelmis tenuis",,,,85134
ALCYONIIDAE,"Bathyalcyon robustum","Versluys, 1906",,,237074
ALCYONIIDAE,"Discophyton rudyi","(Verseveldt & van Ofwegen, 1992)",,,118800
ALCYONIIDAE,"Eleutherobia rubra","(Brundin, 1896)",,,249196
ALCYONIIDAE,"Gersemia fruticosa",,,,31493
ALCYONIIDAE,"Gersemia rubiformis","(Ehrenberg, 1834)","sea strawberry",,31491
ALCYONIIDAE,"Heteropolypus ritteri","(Nutting, 1909)",,,116048
ALCYONIIDAE,"Thrombophyton coronatum","McFadden & Hochberg, 2003",,,163200
ALCYONIIDAE,"Thrombophyton trachydermum","McFadden & Hochberg, 2003",,,150039
ALLONISCIDAE,"Alloniscus mirabilis","(Stuxberg, 1875)",,,70949
ALLONISCIDAE,"Alloniscus perconvexus","Dana, 1856",,,75519
ALLOPOSIDAE,"Haliphron atlanticus","Steenstrup, 1861",,,22895
ALPHEIDAE,"Alpheopsis equidactylus","(Lockington, 1877)",,,75990
ALPHEIDAE,"Alpheus bellimanus","Lockington, 1877","olive snapping shrimp",,75924
ALPHEIDAE,"Alpheus californiensis","Holmes, 1900","mudflat snapping shrimp",,75926
ALPHEIDAE,"Alpheus clamator","Lockington, 1877","twistclaw pistol shrimp",,75919
ALPHEIDAE,"Alpheus dentipes","Guérin, 1832",,,115796
ALPHEIDAE,"Betaeus ensenadensis","Glassell, 1938","mudflat visored shrimp",,75973
ALPHEIDAE,"Betaeus gracilis","J. F. L. Hart, 1964","kelp visored shrimp",,75974
ALPHEIDAE,"Betaeus harfordi","(Kingsley, 1878)","abalone visored shrimp",,75975
ALPHEIDAE,"Betaeus harrimani","M. J. Rathbun, 1904","Northern hooded shrimp",,75970
ALPHEIDAE,"Betaeus longidactylus","Lockington, 1877","visored shrimp",,75976
ALPHEIDAE,"Betaeus macginitieae","J. F. L. Hart, 1964","urchin visored shrimp",,75977
ALPHEIDAE,"Betaeus setosus","J. F. L. Hart, 1964","fuzzy hooded shrimp",,75971
ALPHEIDAE,"Synalpheus lockingtoni","Coutière, 1909","littoral pistol shrimp",,76014
ALVINELLIDAE,"Alvinella caudata","Desbruyères & Laubier, 1986",,,123257
ALVINELLIDAE,"Alvinella pompejana","Desbruyères & Laubier, 1980",,,123258
AMATHILLOPSIDAE,"Amathillopsis annectens",,,,46204
AMATHINIDAE,"Cyclothyca corrugata","(Stearns, 1890)",,,246279
AMATHINIDAE,"Iselica fenestrata","(Carpenter, 1864)",,,135192
AMATHINIDAE,"Iselica obtusa","(Carpenter, 1864)",,,6701
AMATHINIDAE,"Iselica ovoidea","(Gould, 1853)",,,6702
AMEIRIDAE,"Ameira longipes","Boeck, 1865",,,55968
AMEIRIDAE,"Praeleptomesochra similis","Lang, 1965",,,52001
