	Dataset	level	iteration	Method	Parameters	match_ratio	overclassification_ratio	underclassification_ratio	misclassification_ratio	mismatch_level_list	Precision	Recall	F-measure
46	CRABS_MiFish	5	6	naive-bayes	0.001:[7,7]	0.22736992159657876	0.413399857448325	0.2647897362794013	0.09444048467569494	[0, 11, 108, 266, 623, 1798, 0, 0]	0.3092583616093068	0.22736992159657876	0.2620661326761142
47	CRABS_MiFish	5	7	naive-bayes	0.001:[7,7]	0.23118087763110953	0.4252586514448805	0.2500891901534071	0.09347128077060292	[0, 10, 111, 238, 604, 1840, 0, 0]	0.3082778306374881	0.23118087763110953	0.2642201834862385
48	CRABS_MiFish	5	8	naive-bayes	0.001:[7,7]	0.21762397431323582	0.41990724224045667	0.26542989653942206	0.09703888690688547	[0, 24, 94, 259, 639, 1787, 0, 0]	0.29626032054395335	0.21762397431323582	0.2509255450431921
49	CRABS_MiFish	5	9	naive-bayes	0.001:[7,7]	0.21700462468872286	0.45464247598719315	0.2440412664532195	0.08431163287086446	[0, 26, 105, 247, 545, 1888, 0, 0]	0.28705882352941176	0.21700462468872286	0.24716369529983792
50	CRABS_MiFish	4	0	naive-bayes	0.001:[7,7]	0.1456344998232591	0.3559561682573347	0.36620714033227286	0.13220219158713326	[0, 62, 270, 1078, 1419, 0, 0, 0]	0.2297824874511991	0.1456344998232591	0.17827780181739508
51	CRABS_MiFish	4	1	naive-bayes	0.001:[7,7]	0.1438670908448215	0.3329798515376458	0.36231884057971014	0.16083421703782255	[0, 67, 319, 1094, 1349, 0, 0, 0]	0.22560975609756098	0.1438670908448215	0.17569609324411828
52	CRABS_MiFish	4	2	naive-bayes	0.001:[7,7]	0.14533239038189533	0.3465346534653465	0.3787128712871287	0.12942008486562942	[0, 47, 273, 1117, 1391, 0, 0, 0]	0.23392145702902675	0.14533239038189533	0.17928026172300984
53	CRABS_MiFish	4	3	naive-bayes	0.001:[7,7]	0.1519971721456345	0.31283138918345704	0.3937787203958996	0.14139271827500885	[0, 68, 279, 1167, 1315, 0, 0, 0]	0.25072886297376096	0.1519971721456345	0.18926056338028172
54	CRABS_MiFish	4	4	naive-bayes	0.001:[7,7]	0.1521585279547063	0.3195329087048832	0.4037508846426044	0.12455767869780608	[0, 61, 314, 1118, 1333, 0, 0, 0]	0.2551928783382789	0.1521585279547063	0.1906450897805365
55	CRABS_MiFish	4	5	naive-bayes	0.001:[7,7]	0.10608203677510608	0.35855728429985856	0.39427157001414426	0.14108910891089108	[0, 67, 308, 1139, 1314, 0, 0, 0]	0.17513134851138354	0.10608203677510608	0.1321294868971592
56	CRABS_MiFish	4	6	naive-bayes	0.001:[7,7]	0.15800636267232238	0.328384588193708	0.36267232237539765	0.15093672675857192	[0, 75, 306, 1072, 1376, 0, 0, 0]	0.24792013311148087	0.15800636267232238	0.19300518134715025
57	CRABS_MiFish	4	7	naive-bayes	0.001:[7,7]	0.15988680580120268	0.3233109303148214	0.3859214715245844	0.13088079235939157	[0, 61, 263, 1137, 1366, 0, 0, 0]	0.26036866359447003	0.15988680580120268	0.19811527503835194
58	CRABS_MiFish	4	8	naive-bayes	0.001:[7,7]	0.125221082419526	0.3654050229925716	0.3753095153873364	0.13406437920056596	[0, 60, 259, 1121, 1387, 0, 0, 0]	0.20045300113250283	0.125221082419526	0.1541476159372959
59	CRABS_MiFish	4	9	naive-bayes	0.001:[7,7]	0.14750619030774673	0.3229571984435798	0.37389458790237	0.1556420233463035	[0, 63, 334, 1100, 1330, 0, 0, 0]	0.23559322033898306	0.14750619030774673	0.1814226669567109
60	MetaCurator_MiFish	6	0	naive-bayes	0.001:[7,7]	0.2095543958249699	0.5158570855078282	0.14572460859092734	0.1288639100762746	[0, 0, 16, 42, 102, 524, 1807, 0]	0.24530075187969924	0.2095543958249699	0.22602294869019268
61	MetaCurator_MiFish	6	1	naive-bayes	0.001:[7,7]	0.1985674492638281	0.5224830879426979	0.14723438121766813	0.1317150815758058	[0, 2, 21, 70, 95, 514, 1811, 0]	0.2328511432571162	0.1985674492638281	0.2143470790378007
62	MetaCurator_MiFish	6	2	naive-bayes	0.001:[7,7]	0.20933913731697665	0.516818361693708	0.14364859517214087	0.13019390581717452	[0, 3, 12, 60, 90, 527, 1835, 0]	0.2444547134935305	0.20933913731697665	0.2255382647623108
63	MetaCurator_MiFish	6	3	naive-bayes	0.001:[7,7]	0.19554848966613672	0.5166931637519873	0.15023847376788554	0.13751987281399047	[0, 0, 17, 79, 105, 523, 1792, 0]	0.23012160898035547	0.19554848966613672	0.21143102707348518
64	MetaCurator_MiFish	6	4	naive-bayes	0.001:[7,7]	0.21488933601609658	0.5227364185110664	0.13319919517102616	0.12917505030181087	[0, 0, 12, 60, 90, 491, 1832, 0]	0.2479108635097493	0.21488933601609658	0.23022203061004526
65	MetaCurator_MiFish	6	5	naive-bayes	0.001:[7,7]	0.2065390749601276	0.5155502392344498	0.15271132376395535	0.1251993620414673	[0, 0, 14, 64, 96, 523, 1811, 0]	0.24376470588235294	0.2065390749601276	0.22361320958342326
66	MetaCurator_MiFish	6	6	naive-bayes	0.001:[7,7]	0.21842732327243844	0.5162827640984908	0.14058776806989676	0.12470214455917394	[0, 1, 10, 79, 95, 484, 1849, 0]	0.2541589648798521	0.21842732327243844	0.2349423323366083
67	MetaCurator_MiFish	6	7	naive-bayes	0.001:[7,7]	0.1965845909451946	0.5329626687847498	0.14932486100079428	0.12112787926926132	[0, 0, 13, 53, 101, 514, 1837, 0]	0.23109243697478993	0.1965845909451946	0.21244635193133046
68	MetaCurator_MiFish	6	8	naive-bayes	0.001:[7,7]	0.1989591673338671	0.5268214571657326	0.14211369095276222	0.1321056845476381	[0, 2, 12, 67, 99, 505, 1813, 0]	0.23191787214185722	0.1989591673338671	0.21417797888386123
69	MetaCurator_MiFish	6	9	naive-bayes	0.001:[7,7]	0.20972278023302532	0.5174768983527521	0.14584170349537967	0.12695861791884291	[0, 0, 16, 64, 111, 488, 1810, 0]	0.24553151458137348	0.20972278023302532	0.22621885157096425
70	MetaCurator_MiFish	5	0	naive-bayes	0.001:[7,7]	0.2164723032069971	0.407798833819242	0.282798833819242	0.09293002915451895	[0, 7, 114, 275, 635, 1713, 0, 0]	0.3018292682926829	0.2164723032069971	0.25212224108658743
71	MetaCurator_MiFish	5	1	naive-bayes	0.001:[7,7]	0.22551169590643275	0.402046783625731	0.2777777777777778	0.09466374269005848	[0, 5, 121, 266, 627, 1717, 0, 0]	0.31224696356275305	0.22551169590643275	0.2618845500848897
72	MetaCurator_MiFish	5	2	naive-bayes	0.001:[7,7]	0.20219378427787935	0.4237659963436929	0.2822669104204753	0.09177330895795247	[0, 14, 111, 249, 649, 1712, 0, 0]	0.2817116658176261	0.20219378427787935	0.23541932737335033
73	MetaCurator_MiFish	5	3	naive-bayes	0.001:[7,7]	0.21608775137111516	0.4127970749542962	0.28884826325411334	0.08226691042047532	[0, 11, 127, 248, 629, 1720, 0, 0]	0.3038560411311054	0.21608775137111516	0.25256410256410255
74	MetaCurator_MiFish	5	4	naive-bayes	0.001:[7,7]	0.22542930215564486	0.4073803434417245	0.2773109243697479	0.08987943003288272	[0, 5, 103, 265, 632, 1732, 0, 0]	0.31193124368048536	0.22542930215564486	0.2617179215270413
75	MetaCurator_MiFish	5	5	naive-bayes	0.001:[7,7]	0.21123677489967166	0.4199197373221452	0.27179861364465524	0.09704487413352791	[0, 6, 105, 261, 639, 1730, 0, 0]	0.29008016032064127	0.21123677489967166	0.24445851804939833
76	MetaCurator_MiFish	5	6	naive-bayes	0.001:[7,7]	0.21808898614150254	0.40007293946024797	0.2899343544857768	0.09190371991247265	[0, 10, 115, 274, 648, 1695, 0, 0]	0.3071391884951207	0.21808898614150254	0.255065045851994
77	MetaCurator_MiFish	5	7	naive-bayes	0.001:[7,7]	0.22153284671532847	0.40912408759124086	0.2791970802919708	0.09014598540145985	[0, 5, 125, 270, 612, 1728, 0, 0]	0.30734177215189873	0.22153284671532847	0.2574761399787911
78	MetaCurator_MiFish	5	8	naive-bayes	0.001:[7,7]	0.22347794385709077	0.3962814436748086	0.27670433831571273	0.10353627415238789	[0, 10, 122, 265, 646, 1700, 0, 0]	0.3089717741935484	0.22347794385709077	0.2593611169875185
79	MetaCurator_MiFish	5	9	naive-bayes	0.001:[7,7]	0.22883211678832116	0.4058394160583942	0.2708029197080292	0.09452554744525547	[0, 7, 121, 262, 611, 1739, 0, 0]	0.3138138138138138	0.22883211678832116	0.26466863655550865
80	MetaCurator_MiFish	4	0	naive-bayes	0.001:[7,7]	0.15150416817687568	0.3501268575570859	0.38637187386734323	0.11199710039869518	[0, 24, 287, 1064, 1384, 0, 0, 0]	0.24689899586532782	0.15150416817687568	0.1877807726864331
81	MetaCurator_MiFish	4	1	naive-bayes	0.001:[7,7]	0.16817687567959405	0.34795215657847045	0.365349764407394	0.1185212033345415	[0, 13, 303, 1019, 1424, 0, 0, 0]	0.26499143346659054	0.16817687567959405	0.2057649667405765
