"MF197200.1_representative_of_8_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;NA;NA;NA"
"MG283139.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"KP725576.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Nematocarcinidae;Nematocarcinus;NA"
"MH714456.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Nematocarcinidae;Nematocarcinus;NA"
"OP089180.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Nematocarcinidae;Nematocarcinus;NA"
"KP725568.1_representative_of_7_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Nematocarcinidae;Nematocarcinus;NA"
"KP725585.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Nematocarcinidae;Nematocarcinus;NA"
"KJ595167.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"MK971292.1_representative_of_6_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"MG677867.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;NA;NA"
"MH780205.1_representative_of_12_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Palaemon;NA"
"ON754350.1_representative_of_7_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"DQ647675.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"MH253217.1_representative_of_26_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"KF383299.1_representative_of_101_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"OQ512153.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"MH253293.1_representative_of_9_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"OR941611.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
